INFO:root:episode:4650 e_greed:0.1625039999999625 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [3, 3], [1, 1], [2, 5], [0, 7], [0, 2], [3, 4]]
INFO:root:episode:4700 e_greed:0.1621039999999621 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [3, 4]]
INFO:root:episode:4750 e_greed:0.1617039999999617 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4800 e_greed:0.1613039999999613 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4850 e_greed:0.1609039999999609 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4900 e_greed:0.1605039999999605 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4950 e_greed:0.1601039999999601 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [3, 3], [2, 5], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:5000 e_greed:0.1597039999999597 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [3, 3], [2, 5], [0, 2], [0, 7], [0, 4]]
INFO:root:episode:5050 e_greed:0.1593039999999593 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 2], [0, 7], [0, 4]]
INFO:root:episode:5100 e_greed:0.1589039999999589 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [1, 4]]
INFO:root:episode:5150 e_greed:0.1585039999999585 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 7], [0, 2], [1, 4]]
INFO:root:episode:5200 e_greed:0.1581039999999581 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [1, 4]]
INFO:root:episode:5250 e_greed:0.1577039999999577 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [3, 3], [2, 5], [1, 1], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5300 e_greed:0.1573039999999573 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 7], [0, 2], [2, 4]]
INFO:root:episode:5350 e_greed:0.1569039999999569 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [3, 4]]
